timestamp,price,hour,day_of_week,day_of_month,month,quarter,is_weekend,is_night,hour_sin,hour_cos,month_sin,month_cos,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_lag_24,price_lag_48,price_lag_72,price_lag_168,price_rolling_mean_6,price_rolling_std_6,price_rolling_min_6,price_rolling_max_6,price_rolling_median_6,price_rolling_mean_12,price_rolling_std_12,price_rolling_min_12,price_rolling_max_12,price_rolling_median_12,price_rolling_mean_24,price_rolling_std_24,price_rolling_min_24,price_rolling_max_24,price_rolling_median_24,price_rolling_mean_48,price_rolling_std_48,price_rolling_min_48,price_rolling_max_48,price_rolling_median_48,price_change_1h,price_change_6h,price_change_24h,price_pct_change_24h,price_range_12,price_range_24,price_range_48,volatility_12,volatility_24,volatility_48,target
2025-06-08 22:00:00,4.8,22,6,8,6,2,1,1,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,51.13,65.07,69.55,-0.01,-19.92,93.84,87.61,76.29,81.76,48.51333333333333,23.94101139606836,4.8,69.55,56.005,7.489166666666666,47.94129335273861,-53.06,69.55,2.395,18.927083333333332,44.041529657829216,-53.06,83.0,4.255,39.45104166666666,46.16800721691596,-53.06,110.26,53.394999999999996,-46.330000000000005,4.81,-89.04,-0.948849104859335,122.61,136.06,163.32,47.94129335273861,44.041529657829216,46.16800721691596,86.65
2025-06-08 23:00:00,4.15,23,6,8,6,2,1,1,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,4.8,51.13,65.07,39.65,-39.98,83.0,83.5,66.12,75.31,42.59666666666667,30.150837909860424,4.15,69.55,56.005,11.166666666666666,45.604608884576095,-53.06,69.55,4.475,15.641666666666666,41.94513193153199,-53.06,76.86,3.93,37.797916666666666,45.97743831342985,-53.06,110.26,45.39,-0.6499999999999995,-35.5,-78.85,-0.95,122.61,129.92000000000002,163.32,45.604608884576095,41.94513193153199,45.97743831342985,78.07
2025-06-09 00:00:00,4.19,0,0,9,6,2,0,1,0.0,1.0,1.2246467991473532e-16,-1.0,4.15,4.8,51.13,60.88,-52.56,76.86,78.02,60.86,75.0,33.14833333333333,32.09526720042503,4.15,69.55,27.965,15.895833333333334,41.117115980029006,-53.06,69.55,4.495,12.613749999999998,39.90721944193754,-53.06,69.74,3.93,36.259791666666665,45.837962409208515,-53.06,110.26,39.335,0.040000000000000036,-56.690000000000005,-72.67,-0.9454852979443144,122.61,122.8,163.32,41.117115980029006,39.90721944193754,45.837962409208515,69.66
2025-06-09 01:00:00,4.27,1,0,9,6,2,0,1,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0,4.19,4.15,4.8,69.55,-53.06,69.74,81.89,55.27,77.75,22.26833333333333,28.10395446670595,4.15,65.07,4.535,20.673333333333336,35.295053048507725,-38.89,69.55,4.535,9.885833333333332,38.025789179892435,-53.06,69.55,3.93,34.64270833333333,45.56227824518702,-53.06,110.26,34.775000000000006,0.07999999999999918,-65.28,-65.47,-0.938772583882994,108.44,122.61,163.32,35.295053048507725,38.025789179892435,45.56227824518702,59.95
2025-06-09 02:00:00,13.42,2,0,9,6,2,0,1,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,4.27,4.19,4.15,65.07,-38.89,67.02,82.27,52.78,83.05,13.660000000000002,18.712836236124573,4.15,51.13,4.535,25.032500000000002,30.12087863169763,-16.71,69.55,9.11,7.6525,36.0468086086628,-53.06,69.55,3.93,33.208333333333336,45.11252693570624,-53.06,110.26,28.72,9.15,-51.64999999999999,-53.599999999999994,-0.7997612652939421,86.25999999999999,122.61,163.32,30.12087863169763,36.0468086086628,45.11252693570624,54.16
2025-06-09 03:00:00,32.2,3,0,9,6,2,0,1,0.7071067811865475,0.7071067811865476,1.2246467991473532e-16,-1.0,13.42,4.27,4.19,51.13,-16.71,55.66,81.99,63.7,91.93,10.505,11.232611005461628,4.15,32.2,4.535,29.108333333333334,27.118474693407332,-0.01,69.55,22.810000000000002,6.675,34.99098828083549,-53.06,69.55,3.93,32.17104166666667,44.535738230581806,-53.06,110.26,28.72,18.78,-18.93,-23.459999999999994,-0.42148760330578505,69.56,122.61,163.32,27.118474693407332,34.99098828083549,44.535738230581806,62.18
2025-06-09 04:00:00,44.97,4,0,9,6,2,0,1,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,32.2,13.42,4.27,4.8,-0.01,39.02,85.47,67.02,108.15,17.2,17.419579788273197,4.15,44.97,8.844999999999999,32.85666666666666,25.80458639056016,4.15,69.55,35.925,6.922916666666666,35.25023952791475,-53.06,69.55,3.93,31.327291666666667,43.88334767479758,-53.06,110.26,28.72,12.769999999999996,40.17,5.949999999999996,0.15248590466427459,65.39999999999999,122.61,163.32,25.80458639056016,35.25023952791475,43.88334767479758,74.62
2025-06-09 05:00:00,40.04,5,0,9,6,2,0,1,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0,44.97,32.2,13.42,4.15,39.65,3.71,86.74,74.43,117.9,23.18166666666667,18.187302622067993,4.19,44.97,22.810000000000002,32.88916666666667,25.814163997286293,4.15,69.55,36.120000000000005,8.436666666666667,35.88068981289624,-53.06,69.55,4.17,30.354375,43.14006711967917,-53.06,110.26,28.72,-4.93,35.89,36.33,9.79245283018868,65.39999999999999,122.61,163.32,25.814163997286293,35.88068981289624,43.14006711967917,82.79
2025-06-09 06:00:00,2.97,6,0,9,6,2,0,1,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,40.04,44.97,32.2,4.19,60.88,0.0,79.86,59.61,102.36,22.978333333333335,18.44705875381442,2.97,44.97,22.810000000000002,28.063333333333333,25.516995168401913,2.97,69.55,22.810000000000002,8.560416666666667,35.855440006778764,-53.06,69.55,4.17,28.752499999999998,42.687883153010816,-53.06,110.26,20.165,-37.07,-1.2200000000000002,2.97,inf,66.58,122.61,163.32,25.516995168401913,35.855440006778764,42.687883153010816,83.17
2025-06-09 07:00:00,-0.62,7,0,9,6,2,0,0,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,2.97,40.04,44.97,4.27,69.55,-0.5,65.3,3.94,85.6,22.16333333333333,19.515963380440166,-0.62,44.97,22.810000000000002,22.215833333333332,23.068196311385307,-0.62,65.07,9.11,8.555416666666668,35.85676674712839,-53.06,69.55,4.17,27.379166666666666,42.54721936726915,-53.06,110.26,11.43,-3.5900000000000003,-4.89,-0.12,0.24,65.69,122.61,163.32,23.068196311385307,35.85676674712839,42.54721936726915,69.0
